railway,designCap,maxCap,currentCap,d,e,currentLoad,currentLoadFactor6,currentLoadFactor4,currentLoadFactor6Design,canIncreaseFreq,canUpgrade,l
東鐵綫,101000,90000,82500,11000,7500,58700,0.71,1,0.58,可以,有,(2020年當沙
西鐵綫,64000,51500,49200,12500,2300,34600,0.7,0.99,0.54,可以,有,(2018年當沙
馬鞍山綫,32000,30500,26800,1500,3700,15200,0.57,0.8,0.48,可以,有,(2018年當沙
將軍澳綫,85000,67500,62500,17500,5000,44800,0.72,1.006,0.53,可以,有,(2018至2022
港島綫,85000,80000,80000,5000,0,52900,0.66,0.93,0.62,不可以,有,(2018至2022
觀塘綫,85000,71400,71400,13600,0,47600,0.67,0.94,0.56,不可以,有,(2018至2022
觀塘綫,85000,71400,71400,13600,0,47600,0.67,0.94,0.56,不可以,有,(2018至2022
荃灣綫,85000,75000,75000,10000,0,52300,0.7,0.98,0.62,不可以,有,(2018至2022
迪士尼綫,10800,9600,9600,1200,7500,2400,0.25,0.35,0.22,不可以,有,(2018至2022
部分路段共用路軌,45000,45000,37500,0,0,22400,0.6,0.84,0.5,可以(註 5 ),,(計劃中)
部分路段共用路軌,6400,4800,4800,1600,,2200,0.46,0.54,0.34,不可以(註 5 ),,(計劃中)
